sku|name|category|category_slug|subcategory|unit|reference_price|minimum_stock|active
MER-V7-001|Arroz Tio João Tipo 1 1kg|Mercearia|mercearia|Arroz branco|un|10.99|6|true
MER-V7-002|Arroz Camil Tipo 1 1kg|Mercearia|mercearia|Arroz branco|un|9.99|6|true
MER-V7-003|Arroz Parboilizado Tio João 1kg|Mercearia|mercearia|Arroz parboilizado|un|11.99|5|true
MER-V7-004|Arroz Integral Tio João 1kg|Mercearia|mercearia|Arroz integral|un|13.99|4|true
MER-V7-005|Feijão Carioca Broto Legal Tipo 1 1kg|Mercearia|mercearia|Feijão|un|8.49|8|true
MER-V7-006|Feijão Carioca Kicaldo Tipo 1 1kg|Mercearia|mercearia|Feijão|un|8.99|8|true
MER-V7-007|Feijão Preto Camil Tipo 1 1kg|Mercearia|mercearia|Feijão|un|9.99|5|true
MER-V7-008|Feijão Macassa Kicaldo 500g|Mercearia|mercearia|Feijão|un|7.49|5|true
MER-V7-009|Feijão Verde Kicaldo 500g|Mercearia|mercearia|Feijão|un|8.49|4|true
MER-V7-010|Lentilha Camil 500g|Mercearia|mercearia|Leguminosas|un|9.99|4|true
MER-V7-011|Grão-de-bico Camil 500g|Mercearia|mercearia|Leguminosas|un|10.99|4|true
MER-V7-012|Ervilha Seca Yoki 500g|Mercearia|mercearia|Leguminosas|un|7.99|4|true
MER-V7-013|Açúcar Cristal União 1kg|Mercearia|mercearia|Açúcar|un|5.49|8|true
MER-V7-014|Açúcar Refinado União 1kg|Mercearia|mercearia|Açúcar|un|5.99|6|true
MER-V7-015|Adoçante Zero-Cal 100ml|Mercearia|mercearia|Adoçantes|un|7.99|3|true
MER-V7-016|Sal Refinado Cisne 1kg|Mercearia|mercearia|Sal|un|3.49|6|true
MER-V7-017|Farinha de Trigo Dona Benta 1kg|Mercearia|mercearia|Farinha de trigo|un|7.99|5|true
MER-V7-018|Farinha de Mandioca Yoki Torrada 500g|Mercearia|mercearia|Farinha de mandioca|un|8.49|4|true
MER-V7-019|Farinha de Rosca Yoki 500g|Mercearia|mercearia|Farinha de rosca|un|9.49|3|true
MER-V7-020|Polvilho Doce Amafil 500g|Mercearia|mercearia|Polvilho|un|8.99|3|true
